Model,Image_Name,PSNR,SSIM,LPIPS,CLIPIQA,Category
BSRGAN,0837.png,21.5323485819166,0.651444762639113,0.20106175541877747,0.9736328125,Neutral
BSRGAN,0832.png,23.102977744171376,0.7150524890741145,0.14134855568408966,0.96875,Good
BSRGAN,0820.png,20.049518408758043,0.6296176329410609,0.20022253692150116,0.98681640625,Bad
BSRGAN,0840.png,23.084821852897125,0.660011604165143,0.28469470143318176,0.9599609375,Good
BSRGAN,0819.png,22.91962250079709,0.581834601575994,0.21567979454994202,0.9560546875,Neutral
BSRGAN,0801.png,23.36501073571767,0.6166966836706571,0.2490362823009491,0.9775390625,Good
BSRGAN,0858.png,24.554237187629223,0.5650687058631608,0.21689487993717194,0.9794921875,Good
BSRGAN,0899.png,23.85284062371148,0.7732627313817547,0.11291255801916122,0.99169921875,Good
BSRGAN,0839.png,25.73461357167067,0.7513029016379805,0.11416588723659515,0.982421875,Good
BSRGAN,0849.png,18.189979757007546,0.561342047596904,0.2722665071487427,0.9853515625,Bad
BSRGAN,0887.png,22.194319425529514,0.6442886139208781,0.1491977870464325,0.98974609375,Neutral
BSRGAN,0861.png,20.83706894832008,0.5527886828095552,0.22914473712444305,0.97900390625,Bad
BSRGAN,0838.png,31.783104087534824,0.8669617272373831,0.1873319000005722,0.923828125,Good
BSRGAN,0884.png,22.386389630827797,0.6104810394706793,0.20030324161052704,0.9873046875,Neutral
BSRGAN,0814.png,24.577248991103996,0.8362510950773395,0.10950563848018646,0.9921875,Good
BSRGAN,0868.png,27.809121494478838,0.9344089891240902,0.04723906144499779,0.974609375,Good
BSRGAN,0871.png,24.327051117021696,0.7446548133444783,0.1639232486486435,0.97021484375,Good
BSRGAN,0831.png,23.716195913019593,0.70086786254975,0.1797524094581604,0.9580078125,Good
BSRGAN,0845.png,20.716355945415287,0.7035658267157575,0.17260469496250153,0.9853515625,Bad
BSRGAN,0872.png,21.40123262321417,0.5980428808172662,0.22842878103256226,0.98046875,Neutral
RealESRGAN,0837.png,20.86376604654727,0.6376169955346894,0.19903796911239624,0.97216796875,Bad
RealESRGAN,0832.png,22.703938372412956,0.7244437593360803,0.14550618827342987,0.96484375,Neutral
RealESRGAN,0820.png,18.79641135421214,0.6103484270411035,0.19664965569972992,0.98046875,Bad
RealESRGAN,0840.png,23.404060747876763,0.6642999605253598,0.2950347065925598,0.9599609375,Good
RealESRGAN,0819.png,21.68332172934838,0.5730176848412684,0.21828901767730713,0.9580078125,Neutral
RealESRGAN,0801.png,22.595806629561235,0.6254894089729915,0.2236957550048828,0.97265625,Neutral
RealESRGAN,0858.png,23.275902533248516,0.47283797714090414,0.26275622844696045,0.9677734375,Good
RealESRGAN,0899.png,24.722172764799822,0.8019864312897562,0.1074272096157074,0.994140625,Good
RealESRGAN,0839.png,25.044102072065392,0.7388792114562087,0.1497657150030136,0.97412109375,Good
RealESRGAN,0849.png,17.657505446266804,0.5712816509155575,0.21778708696365356,0.984375,Bad
RealESRGAN,0887.png,21.15085285716219,0.6276715359936539,0.1367107480764389,0.9912109375,Neutral
RealESRGAN,0861.png,19.773769277439108,0.49052086104637826,0.2247554212808609,0.98486328125,Bad
RealESRGAN,0838.png,32.276880368692204,0.882015763584931,0.18110501766204834,0.89697265625,Good
RealESRGAN,0884.png,21.724753058369334,0.5951626350652696,0.19599628448486328,0.982421875,Neutral
RealESRGAN,0814.png,24.461674361501192,0.8388989702858356,0.10776291787624359,0.986328125,Good
RealESRGAN,0868.png,27.82722023417033,0.9370671320729994,0.04688919708132744,0.9833984375,Good
RealESRGAN,0871.png,24.123453243336463,0.7498035328822846,0.16021797060966492,0.96484375,Good
RealESRGAN,0831.png,23.362714198897102,0.6953610621396593,0.17861756682395935,0.93798828125,Good
RealESRGAN,0845.png,18.755930668898653,0.6720453252952078,0.17887316644191742,0.98486328125,Bad
RealESRGAN,0872.png,21.30305619233083,0.6016002459585962,0.2623647153377533,0.98095703125,Neutral
ResShift,0837.png,22.38613628020541,0.6978168959665659,0.15600019693374634,0.99169921875,Neutral
ResShift,0832.png,23.697965506364337,0.7431129242248836,0.09938909113407135,0.986328125,Good
ResShift,0820.png,20.40239773461036,0.6480176550774255,0.15662014484405518,0.9921875,Bad
ResShift,0840.png,23.928011604549418,0.7067283353363822,0.21737916767597198,0.98583984375,Good
ResShift,0819.png,22.20497585960431,0.5900262760311151,0.16157874464988708,0.98974609375,Neutral
ResShift,0801.png,22.73341768117436,0.6403477976003796,0.1803281009197235,0.98291015625,Neutral
ResShift,0858.png,25.031405820758785,0.6467987546785331,0.16395510733127594,0.99267578125,Good
ResShift,0899.png,26.823850392391186,0.8332981203578997,0.07969972491264343,0.99609375,Good
ResShift,0839.png,26.22654948353521,0.7133705531258535,0.11619456112384796,0.99072265625,Good
ResShift,0849.png,18.63695312849226,0.6299171717997474,0.22378459572792053,0.99169921875,Bad
ResShift,0887.png,22.069355393858427,0.669644891491458,0.1173713207244873,0.99609375,Neutral
ResShift,0861.png,21.20033538832682,0.6311913597999642,0.2020854949951172,0.98974609375,Neutral
ResShift,0838.png,31.212404738622222,0.8290961015868478,0.09682073444128036,0.97802734375,Good
ResShift,0884.png,23.174266792194924,0.6410695895265585,0.14988884329795837,0.99169921875,Good
ResShift,0814.png,24.94507631408212,0.7892347943423504,0.1125817522406578,0.986328125,Good
ResShift,0868.png,27.78198260451586,0.9195800548380136,0.045297592878341675,0.98583984375,Good
ResShift,0871.png,25.94262572075462,0.7788918651779232,0.10899654775857925,0.98291015625,Good
ResShift,0831.png,24.874805698177305,0.7425633748269297,0.13625460863113403,0.9775390625,Good
ResShift,0845.png,22.011383911929187,0.7591942980283299,0.12413038313388824,0.9912109375,Neutral
ResShift,0872.png,21.30257638651861,0.5991767541369054,0.17848648130893707,0.9921875,Neutral
SwinIR,0837.png,20.457678585930665,0.6323323156573265,0.19425469636917114,0.95947265625,Bad
SwinIR,0832.png,22.508615823463547,0.7227227101279355,0.14786751568317413,0.95703125,Neutral
SwinIR,0820.png,19.118660239682264,0.6374055565313322,0.20615911483764648,0.9794921875,Bad
SwinIR,0840.png,22.80447138858067,0.6531401425880518,0.24971309304237366,0.96240234375,Neutral
SwinIR,0819.png,21.895786412988944,0.5901948840945636,0.2125578373670578,0.9521484375,Neutral
SwinIR,0801.png,22.25371547978994,0.6164729665963293,0.22973191738128662,0.95751953125,Neutral
SwinIR,0858.png,23.95509526310024,0.512557088563179,0.23441511392593384,0.97705078125,Good
SwinIR,0899.png,24.0739754620612,0.804966947925262,0.10245837271213531,0.99072265625,Good
SwinIR,0839.png,25.05300365663803,0.7605280270183372,0.12001937627792358,0.9736328125,Good
SwinIR,0849.png,17.619623559700877,0.5948620979018587,0.2031845599412918,0.98388671875,Bad
SwinIR,0887.png,21.517513179283657,0.6659459947124244,0.1368703842163086,0.9853515625,Neutral
SwinIR,0861.png,19.826885363653886,0.47820739852085237,0.21165968477725983,0.97412109375,Bad
SwinIR,0838.png,31.933489781870982,0.8793614081986721,0.17643746733665466,0.876953125,Good
SwinIR,0884.png,21.40344346100063,0.5913346526879234,0.1845398247241974,0.9833984375,Neutral
