Experiment parameters,,,,,
parameter,value,,,,
title,Super Resolution Color Imaging,,,,
experiment type,Paired Comparison,,,,
delay between stimuli switching,200ms,,,,
Background colour,#808080,,,,
Stimuli spacing,15px,,,,
Same pair twice (flipped),no,,,,
Show original,no,,,,
,,,,,
Image sets,,,,,
set name,file name,,,,
2644,6961,0819_RealESRGAN.png,0819_SwinIR.png,0819_RealESRGAN.png,1
2644,6961,0819_SwinIR.png,0819_ResShift.png,0819_ResShift.png,2
2644,6961,0819_ResShift.png,0819_BSRGAN.png,0819_ResShift.png,3
2644,6961,0862_ResShift.png,0862_RealESRGAN.png,0862_ResShift.png,4
2644,6961,0862_SwinIR.png,0862_ResShift.png,0862_ResShift.png,1
2644,6961,0862_SwinIR.png,0862_RealESRGAN.png,0862_SwinIR.png,3
2644,6961,0862_RealESRGAN.png,0862_BSRGAN.png,0862_BSRGAN.png,8
2644,6961,0862_BSRGAN.png,0862_SwinIR.png,0862_BSRGAN.png,1
2644,6961,0862_ResShift.png,0862_BSRGAN.png,0862_ResShift.png,1
2644,6961,0874_SwinIR.png,0874_ResShift.png,0874_ResShift.png,3
2644,6961,0874_BSRGAN.png,0874_RealESRGAN.png,0874_BSRGAN.png,7
2644,6961,0874_RealESRGAN.png,0874_SwinIR.png,0874_RealESRGAN.png,1
2644,6961,0874_BSRGAN.png,0874_SwinIR.png,0874_SwinIR.png,1
2644,6961,0874_BSRGAN.png,0874_ResShift.png,0874_ResShift.png,1
2644,6961,0874_ResShift.png,0874_RealESRGAN.png,0874_ResShift.png,1
2642,6978,0887_BSRGAN.png,0887_SwinIR.png,0887_SwinIR.png,36
2642,6978,0887_ResShift.png,0887_BSRGAN.png,0887_ResShift.png,9
2642,6978,0887_RealESRGAN.png,0887_BSRGAN.png,0887_BSRGAN.png,18
2642,6978,0887_SwinIR.png,0887_RealESRGAN.png,0887_SwinIR.png,3
2642,6978,0887_ResShift.png,0887_RealESRGAN.png,0887_ResShift.png,17
2642,6978,0887_SwinIR.png,0887_ResShift.png,0887_ResShift.png,11
2642,6978,0841_SwinIR.png,0841_ResShift.png,0841_SwinIR.png,7
2642,6978,0841_SwinIR.png,0841_RealESRGAN.png,0841_SwinIR.png,33
2642,6978,0841_BSRGAN.png,0841_ResShift.png,0841_ResShift.png,5
2642,6978,0841_RealESRGAN.png,0841_BSRGAN.png,0841_RealESRGAN.png,5
2642,6978,0841_SwinIR.png,0841_BSRGAN.png,0841_BSRGAN.png,19
2642,6978,0841_RealESRGAN.png,0841_ResShift.png,0841_ResShift.png,21
2642,6978,0825_SwinIR.png,0825_RealESRGAN.png,0825_SwinIR.png,10
2642,6978,0825_ResShift.png,0825_RealESRGAN.png,0825_RealESRGAN.png,15
2642,6978,0825_BSRGAN.png,0825_ResShift.png,0825_ResShift.png,3
2642,6978,0825_BSRGAN.png,0825_RealESRGAN.png,0825_RealESRGAN.png,6
2642,6978,0825_BSRGAN.png,0825_SwinIR.png,0825_BSRGAN.png,8
2642,6978,0825_ResShift.png,0825_SwinIR.png,0825_SwinIR.png,8
2642,6978,0819_BSRGAN.png,0819_SwinIR.png,0819_SwinIR.png,17
2642,6978,0819_ResShift.png,0819_BSRGAN.png,0819_ResShift.png,4
2642,6978,0819_SwinIR.png,0819_ResShift.png,0819_SwinIR.png,6
2642,6978,0819_ResShift.png,0819_RealESRGAN.png,0819_ResShift.png,3
2642,6978,0819_RealESRGAN.png,0819_BSRGAN.png,0819_RealESRGAN.png,6
2642,6978,0819_RealESRGAN.png,0819_SwinIR.png,0819_RealESRGAN.png,4
2642,6978,0896_ResShift.png,0896_SwinIR.png,0896_ResShift.png,7
2642,6978,0896_SwinIR.png,0896_RealESRGAN.png,0896_RealESRGAN.png,10
2642,6978,0896_ResShift.png,0896_BSRGAN.png,0896_ResShift.png,2
2642,6978,0896_ResShift.png,0896_RealESRGAN.png,0896_ResShift.png,2
2642,6978,0896_BSRGAN.png,0896_SwinIR.png,0896_BSRGAN.png,5
2642,6978,0896_RealESRGAN.png,0896_BSRGAN.png,0896_RealESRGAN.png,9
2642,6978,0814_SwinIR.png,0814_RealESRGAN.png,0814_SwinIR.png,11
2642,6978,0814_ResShift.png,0814_RealESRGAN.png,0814_ResShift.png,3
2642,6978,0814_BSRGAN.png,0814_RealESRGAN.png,0814_RealESRGAN.png,3
2642,6978,0814_SwinIR.png,0814_BSRGAN.png,0814_SwinIR.png,9
2642,6978,0814_BSRGAN.png,0814_ResShift.png,0814_ResShift.png,1
2642,6978,0814_SwinIR.png,0814_ResShift.png,0814_SwinIR.png,21
2642,6978,0862_RealESRGAN.png,0862_BSRGAN.png,0862_RealESRGAN.png,9
2642,6978,0862_SwinIR.png,0862_ResShift.png,0862_ResShift.png,7
2642,6978,0862_ResShift.png,0862_BSRGAN.png,0862_BSRGAN.png,9
2642,6978,0862_SwinIR.png,0862_BSRGAN.png,0862_BSRGAN.png,4
2642,6978,0862_ResShift.png,0862_RealESRGAN.png,0862_ResShift.png,1
2642,6978,0862_SwinIR.png,0862_RealESRGAN.png,0862_RealESRGAN.png,2
2642,6978,0837_BSRGAN.png,0837_ResShift.png,0837_BSRGAN.png,33
2642,6978,0837_SwinIR.png,0837_ResShift.png,0837_SwinIR.png,1
2642,6978,0837_BSRGAN.png,0837_RealESRGAN.png,0837_BSRGAN.png,1
2642,6978,0837_RealESRGAN.png,0837_ResShift.png,0837_RealESRGAN.png,17
2642,6978,0837_SwinIR.png,0837_BSRGAN.png,0837_BSRGAN.png,4
2642,6978,0837_SwinIR.png,0837_RealESRGAN.png,0837_SwinIR.png,9
2642,6978,0809_RealESRGAN.png,0809_SwinIR.png,0809_SwinIR.png,3
2642,6978,0809_RealESRGAN.png,0809_ResShift.png,0809_ResShift.png,1
2642,6978,0809_SwinIR.png,0809_ResShift.png,0809_ResShift.png,1
2642,6978,0809_ResShift.png,0809_BSRGAN.png,0809_BSRGAN.png,1
2642,6978,0809_BSRGAN.png,0809_RealESRGAN.png,0809_RealESRGAN.png,2
2642,6978,0809_SwinIR.png,0809_BSRGAN.png,0809_SwinIR.png,6
2642,6978,0874_RealESRGAN.png,0874_ResShift.png,0874_RealESRGAN.png,7
2642,6978,0874_RealESRGAN.png,0874_SwinIR.png,0874_SwinIR.png,1
2642,6978,0874_BSRGAN.png,0874_SwinIR.png,0874_SwinIR.png,2
2642,6978,0874_ResShift.png,0874_SwinIR.png,0874_SwinIR.png,1
2642,6978,0874_BSRGAN.png,0874_RealESRGAN.png,0874_RealESRGAN.png,11
2642,6978,0874_BSRGAN.png,0874_ResShift.png,0874_BSRGAN.png,3
2642,6979,0896_SwinIR.png,0896_ResShift.png,0896_ResShift.png,34
2642,6979,0896_ResShift.png,0896_RealESRGAN.png,0896_RealESRGAN.png,2
2642,6979,0896_BSRGAN.png,0896_SwinIR.png,0896_BSRGAN.png,13
2642,6979,0896_BSRGAN.png,0896_RealESRGAN.png,0896_RealESRGAN.png,5
2642,6979,0896_ResShift.png,0896_BSRGAN.png,0896_ResShift.png,3
2642,6979,0896_SwinIR.png,0896_RealESRGAN.png,0896_RealESRGAN.png,3
2642,6979,0874_BSRGAN.png,0874_SwinIR.png,0874_BSRGAN.png,3
2642,6979,0874_RealESRGAN.png,0874_ResShift.png,0874_ResShift.png,7
2642,6979,0874_SwinIR.png,0874_RealESRGAN.png,0874_SwinIR.png,10
2642,6979,0874_SwinIR.png,0874_ResShift.png,0874_ResShift.png,12
2642,6979,0874_BSRGAN.png,0874_RealESRGAN.png,0874_BSRGAN.png,21
2642,6979,0874_BSRGAN.png,0874_ResShift.png,0874_ResShift.png,6
2642,6979,0809_ResShift.png,0809_BSRGAN.png,0809_ResShift.png,3
2642,6979,0809_BSRGAN.png,0809_RealESRGAN.png,0809_RealESRGAN.png,2
2642,6979,0809_ResShift.png,0809_SwinIR.png,0809_SwinIR.png,4
2642,6979,0809_SwinIR.png,0809_RealESRGAN.png,0809_RealESRGAN.png,2
2642,6979,0809_RealESRGAN.png,0809_ResShift.png,0809_ResShift.png,4
2642,6979,0809_SwinIR.png,0809_BSRGAN.png,0809_SwinIR.png,3
2642,6979,0862_RealESRGAN.png,0862_BSRGAN.png,0862_RealESRGAN.png,6
2642,6979,0862_SwinIR.png,0862_BSRGAN.png,0862_BSRGAN.png,3
2642,6979,0862_ResShift.png,0862_BSRGAN.png,0862_ResShift.png,3
2642,6979,0862_SwinIR.png,0862_RealESRGAN.png,0862_RealESRGAN.png,3
2642,6979,0862_ResShift.png,0862_SwinIR.png,0862_ResShift.png,3
2642,6979,0862_RealESRGAN.png,0862_ResShift.png,0862_ResShift.png,2
2642,6979,0841_RealESRGAN.png,0841_SwinIR.png,0841_SwinIR.png,3
2642,6979,0841_ResShift.png,0841_RealESRGAN.png,0841_RealESRGAN.png,4
2642,6979,0841_ResShift.png,0841_BSRGAN.png,0841_BSRGAN.png,3
2642,6979,0841_SwinIR.png,0841_ResShift.png,0841_ResShift.png,3
2642,6979,0841_BSRGAN.png,0841_SwinIR.png,0841_SwinIR.png,3
2642,6979,0841_BSRGAN.png,0841_RealESRGAN.png,0841_RealESRGAN.png,4
2642,6979,0819_RealESRGAN.png,0819_ResShift.png,0819_ResShift.png,4
2642,6979,0819_SwinIR.png,0819_RealESRGAN.png,0819_RealESRGAN.png,6
2642,6979,0819_ResShift.png,0819_SwinIR.png,0819_ResShift.png,3
2642,6979,0819_BSRGAN.png,0819_RealESRGAN.png,0819_RealESRGAN.png,3
2642,6979,0819_BSRGAN.png,0819_SwinIR.png,0819_SwinIR.png,2
2642,6979,0819_BSRGAN.png,0819_ResShift.png,0819_ResShift.png,2
2642,6979,0814_SwinIR.png,0814_BSRGAN.png,0814_SwinIR.png,12
2642,6979,0814_ResShift.png,0814_SwinIR.png,0814_SwinIR.png,2
2642,6979,0814_ResShift.png,0814_RealESRGAN.png,0814_RealESRGAN.png,4
2642,6979,0814_RealESRGAN.png,0814_SwinIR.png,0814_SwinIR.png,3
2642,6979,0814_RealESRGAN.png,0814_BSRGAN.png,0814_BSRGAN.png,4
2642,6979,0814_ResShift.png,0814_BSRGAN.png,0814_BSRGAN.png,7
2642,6979,0887_SwinIR.png,0887_RealESRGAN.png,0887_SwinIR.png,4
2642,6979,0887_ResShift.png,0887_BSRGAN.png,0887_BSRGAN.png,2
2642,6979,0887_SwinIR.png,0887_BSRGAN.png,0887_BSRGAN.png,3
2642,6979,0887_ResShift.png,0887_RealESRGAN.png,0887_RealESRGAN.png,2
2642,6979,0887_SwinIR.png,0887_ResShift.png,0887_SwinIR.png,3
2642,6979,0887_RealESRGAN.png,0887_BSRGAN.png,0887_RealESRGAN.png,8
2642,6979,0837_BSRGAN.png,0837_SwinIR.png,0837_SwinIR.png,3
2642,6979,0837_ResShift.png,0837_BSRGAN.png,0837_BSRGAN.png,8
2642,6979,0837_SwinIR.png,0837_ResShift.png,0837_SwinIR.png,2
2642,6979,0837_RealESRGAN.png,0837_BSRGAN.png,0837_BSRGAN.png,3
2642,6979,0837_RealESRGAN.png,0837_ResShift.png,0837_RealESRGAN.png,6
2642,6979,0837_SwinIR.png,0837_RealESRGAN.png,0837_SwinIR.png,7
2642,6979,0825_RealESRGAN.png,0825_BSRGAN.png,0825_RealESRGAN.png,11
2642,6979,0825_BSRGAN.png,0825_SwinIR.png,0825_BSRGAN.png,3
2642,6979,0825_RealESRGAN.png,0825_SwinIR.png,0825_RealESRGAN.png,6
2642,6979,0825_RealESRGAN.png,0825_ResShift.png,0825_RealESRGAN.png,6
2642,6979,0825_BSRGAN.png,0825_ResShift.png,0825_BSRGAN.png,5
2642,6979,0825_SwinIR.png,0825_ResShift.png,0825_ResShift.png,4
2642,6980,0809_RealESRGAN.png,0809_ResShift.png,0809_ResShift.png,75
2642,6980,0809_SwinIR.png,0809_ResShift.png,0809_SwinIR.png,5
2642,6980,0809_RealESRGAN.png,0809_BSRGAN.png,0809_RealESRGAN.png,3
2642,6980,0809_BSRGAN.png,0809_ResShift.png,0809_ResShift.png,3
2642,6980,0809_BSRGAN.png,0809_SwinIR.png,0809_SwinIR.png,5
2642,6980,0809_RealESRGAN.png,0809_SwinIR.png,0809_SwinIR.png,10
2642,6980,0887_RealESRGAN.png,0887_SwinIR.png,0887_SwinIR.png,12
2642,6980,0887_RealESRGAN.png,0887_ResShift.png,0887_RealESRGAN.png,17
2642,6980,0887_SwinIR.png,0887_BSRGAN.png,0887_SwinIR.png,7
2642,6980,0887_ResShift.png,0887_SwinIR.png,0887_ResShift.png,14
2642,6980,0887_BSRGAN.png,0887_RealESRGAN.png,0887_BSRGAN.png,6
2642,6980,0887_ResShift.png,0887_BSRGAN.png,0887_ResShift.png,8
2642,6980,0814_SwinIR.png,0814_RealESRGAN.png,0814_SwinIR.png,5
2642,6980,0814_BSRGAN.png,0814_SwinIR.png,0814_BSRGAN.png,3
2642,6980,0814_SwinIR.png,0814_ResShift.png,0814_SwinIR.png,4
2642,6980,0814_RealESRGAN.png,0814_ResShift.png,0814_RealESRGAN.png,3
2642,6980,0814_RealESRGAN.png,0814_BSRGAN.png,0814_RealESRGAN.png,6
2642,6980,0814_BSRGAN.png,0814_ResShift.png,0814_BSRGAN.png,6
2642,6980,0874_SwinIR.png,0874_RealESRGAN.png,0874_RealESRGAN.png,13
2642,6980,0874_RealESRGAN.png,0874_ResShift.png,0874_RealESRGAN.png,5
2642,6980,0874_SwinIR.png,0874_ResShift.png,0874_ResShift.png,11
2642,6980,0874_BSRGAN.png,0874_SwinIR.png,0874_BSRGAN.png,7
2642,6980,0874_BSRGAN.png,0874_RealESRGAN.png,0874_BSRGAN.png,4
2642,6980,0874_BSRGAN.png,0874_ResShift.png,0874_BSRGAN.png,2
2642,6980,0825_RealESRGAN.png,0825_BSRGAN.png,0825_RealESRGAN.png,14
2642,6980,0825_RealESRGAN.png,0825_SwinIR.png,0825_RealESRGAN.png,3
2642,6980,0825_ResShift.png,0825_BSRGAN.png,0825_BSRGAN.png,7
2642,6980,0825_ResShift.png,0825_RealESRGAN.png,0825_ResShift.png,6
2642,6980,0825_SwinIR.png,0825_BSRGAN.png,0825_BSRGAN.png,3
2642,6980,0825_ResShift.png,0825_SwinIR.png,0825_ResShift.png,1
2642,6980,0841_RealESRGAN.png,0841_ResShift.png,0841_RealESRGAN.png,11
2642,6980,0841_BSRGAN.png,0841_SwinIR.png,0841_SwinIR.png,7
2642,6980,0841_ResShift.png,0841_BSRGAN.png,0841_BSRGAN.png,17
2642,6980,0841_ResShift.png,0841_SwinIR.png,0841_SwinIR.png,3
2642,6980,0841_RealESRGAN.png,0841_SwinIR.png,0841_RealESRGAN.png,11
2642,6980,0841_BSRGAN.png,0841_RealESRGAN.png,0841_BSRGAN.png,6
2642,6980,0862_ResShift.png,0862_RealESRGAN.png,0862_ResShift.png,5
2642,6980,0862_RealESRGAN.png,0862_SwinIR.png,0862_RealESRGAN.png,9
2642,6980,0862_SwinIR.png,0862_BSRGAN.png,0862_BSRGAN.png,4
2642,6980,0862_ResShift.png,0862_BSRGAN.png,0862_BSRGAN.png,7
2642,6980,0862_SwinIR.png,0862_ResShift.png,0862_SwinIR.png,10
2642,6980,0862_BSRGAN.png,0862_RealESRGAN.png,0862_BSRGAN.png,6
2642,6980,0896_BSRGAN.png,0896_SwinIR.png,0896_BSRGAN.png,7
2642,6980,0896_SwinIR.png,0896_RealESRGAN.png,0896_SwinIR.png,11
2642,6980,0896_ResShift.png,0896_SwinIR.png,0896_ResShift.png,3
2642,6980,0896_RealESRGAN.png,0896_BSRGAN.png,0896_RealESRGAN.png,5
2642,6980,0896_ResShift.png,0896_RealESRGAN.png,0896_ResShift.png,2
2642,6980,0896_BSRGAN.png,0896_ResShift.png,0896_ResShift.png,14
2642,6980,0837_RealESRGAN.png,0837_SwinIR.png,0837_RealESRGAN.png,9
2642,6980,0837_SwinIR.png,0837_ResShift.png,0837_SwinIR.png,6
2642,6980,0837_BSRGAN.png,0837_RealESRGAN.png,0837_RealESRGAN.png,11
2642,6980,0837_SwinIR.png,0837_BSRGAN.png,0837_SwinIR.png,10
2642,6980,0837_BSRGAN.png,0837_ResShift.png,0837_BSRGAN.png,5
2642,6980,0837_ResShift.png,0837_RealESRGAN.png,0837_RealESRGAN.png,6
2642,6980,0819_SwinIR.png,0819_BSRGAN.png,0819_SwinIR.png,7
2642,6980,0819_ResShift.png,0819_BSRGAN.png,0819_ResShift.png,2
2642,6980,0819_SwinIR.png,0819_ResShift.png,0819_ResShift.png,6
2642,6980,0819_ResShift.png,0819_RealESRGAN.png,0819_ResShift.png,2
2642,6980,0819_RealESRGAN.png,0819_BSRGAN.png,0819_RealESRGAN.png,5
2642,6980,0819_RealESRGAN.png,0819_SwinIR.png,0819_RealESRGAN.png,9
2642,6981,0874_BSRGAN.png,0874_RealESRGAN.png,0874_RealESRGAN.png,10
2642,6981,0874_BSRGAN.png,0874_SwinIR.png,0874_SwinIR.png,2
2642,6981,0874_ResShift.png,0874_RealESRGAN.png,0874_ResShift.png,1
2642,6981,0874_ResShift.png,0874_SwinIR.png,0874_ResShift.png,6
2642,6981,0874_BSRGAN.png,0874_ResShift.png,0874_ResShift.png,4
2642,6981,0874_SwinIR.png,0874_RealESRGAN.png,0874_RealESRGAN.png,8
2642,6981,0887_SwinIR.png,0887_BSRGAN.png,0887_SwinIR.png,3
2642,6981,0887_ResShift.png,0887_RealESRGAN.png,0887_RealESRGAN.png,8
2642,6981,0887_SwinIR.png,0887_ResShift.png,0887_ResShift.png,11
2642,6981,0887_BSRGAN.png,0887_RealESRGAN.png,0887_RealESRGAN.png,15
2642,6981,0887_RealESRGAN.png,0887_SwinIR.png,0887_SwinIR.png,32
2642,6981,0887_ResShift.png,0887_BSRGAN.png,0887_BSRGAN.png,5
2642,6981,0896_SwinIR.png,0896_ResShift.png,0896_ResShift.png,5
2642,6981,0896_BSRGAN.png,0896_SwinIR.png,0896_BSRGAN.png,7
2642,6981,0896_BSRGAN.png,0896_RealESRGAN.png,0896_RealESRGAN.png,13
2642,6981,0896_SwinIR.png,0896_RealESRGAN.png,0896_RealESRGAN.png,14
2642,6981,0896_RealESRGAN.png,0896_ResShift.png,0896_ResShift.png,2
2642,6981,0896_BSRGAN.png,0896_ResShift.png,0896_ResShift.png,3
2642,6981,0809_RealESRGAN.png,0809_ResShift.png,0809_ResShift.png,4
2642,6981,0809_ResShift.png,0809_BSRGAN.png,0809_ResShift.png,1
2642,6981,0809_RealESRGAN.png,0809_SwinIR.png,0809_SwinIR.png,1
2642,6981,0809_SwinIR.png,0809_BSRGAN.png,0809_SwinIR.png,1
2642,6981,0809_BSRGAN.png,0809_RealESRGAN.png,0809_RealESRGAN.png,6
2642,6981,0809_SwinIR.png,0809_ResShift.png,0809_ResShift.png,16
2642,6981,0819_RealESRGAN.png,0819_SwinIR.png,0819_RealESRGAN.png,8
2642,6981,0819_RealESRGAN.png,0819_BSRGAN.png,0819_RealESRGAN.png,5
2642,6981,0819_SwinIR.png,0819_BSRGAN.png,0819_SwinIR.png,9
2642,6981,0819_BSRGAN.png,0819_ResShift.png,0819_ResShift.png,1
2642,6981,0819_ResShift.png,0819_RealESRGAN.png,0819_ResShift.png,14
2642,6981,0819_SwinIR.png,0819_ResShift.png,0819_ResShift.png,2
2642,6981,0862_ResShift.png,0862_RealESRGAN.png,0862_ResShift.png,3
2642,6981,0862_BSRGAN.png,0862_SwinIR.png,0862_BSRGAN.png,3
2642,6981,0862_ResShift.png,0862_BSRGAN.png,0862_ResShift.png,6
2642,6981,0862_ResShift.png,0862_SwinIR.png,0862_ResShift.png,7
2642,6981,0862_RealESRGAN.png,0862_SwinIR.png,0862_RealESRGAN.png,15
2642,6981,0862_BSRGAN.png,0862_RealESRGAN.png,0862_RealESRGAN.png,24
2642,6981,0814_ResShift.png,0814_BSRGAN.png,0814_ResShift.png,6
2642,6981,0814_ResShift.png,0814_RealESRGAN.png,0814_ResShift.png,15
2642,6981,0814_SwinIR.png,0814_RealESRGAN.png,0814_SwinIR.png,25
2642,6981,0814_BSRGAN.png,0814_SwinIR.png,0814_SwinIR.png,5
2642,6981,0814_RealESRGAN.png,0814_BSRGAN.png,0814_RealESRGAN.png,5
2642,6981,0814_SwinIR.png,0814_ResShift.png,0814_ResShift.png,3
2642,6981,0841_BSRGAN.png,0841_SwinIR.png,0841_SwinIR.png,5
2642,6981,0841_RealESRGAN.png,0841_BSRGAN.png,0841_RealESRGAN.png,1
2642,6981,0841_SwinIR.png,0841_RealESRGAN.png,0841_RealESRGAN.png,32
2642,6981,0841_ResShift.png,0841_SwinIR.png,0841_ResShift.png,10
2642,6981,0841_BSRGAN.png,0841_ResShift.png,0841_ResShift.png,5
2642,6981,0841_RealESRGAN.png,0841_ResShift.png,0841_ResShift.png,2
2642,6981,0825_BSRGAN.png,0825_ResShift.png,0825_ResShift.png,17
2642,6981,0825_SwinIR.png,0825_ResShift.png,0825_ResShift.png,5
2642,6981,0825_BSRGAN.png,0825_RealESRGAN.png,0825_RealESRGAN.png,9
2642,6981,0825_SwinIR.png,0825_RealESRGAN.png,0825_RealESRGAN.png,3
2642,6981,0825_SwinIR.png,0825_BSRGAN.png,0825_BSRGAN.png,5
2642,6981,0825_ResShift.png,0825_RealESRGAN.png,0825_ResShift.png,3
2642,6981,0837_RealESRGAN.png,0837_BSRGAN.png,0837_RealESRGAN.png,23
2642,6981,0837_ResShift.png,0837_SwinIR.png,0837_ResShift.png,4
2642,6981,0837_SwinIR.png,0837_BSRGAN.png,0837_SwinIR.png,2
2642,6981,0837_RealESRGAN.png,0837_ResShift.png,0837_ResShift.png,1
2642,6981,0837_BSRGAN.png,0837_ResShift.png,0837_ResShift.png,3
2642,6981,0837_SwinIR.png,0837_RealESRGAN.png,0837_SwinIR.png,9
2642,6982,0862_ResShift.png,0862_RealESRGAN.png,0862_ResShift.png,9
2642,6982,0862_BSRGAN.png,0862_ResShift.png,0862_ResShift.png,8
2642,6982,0862_RealESRGAN.png,0862_SwinIR.png,0862_SwinIR.png,4
2642,6982,0862_BSRGAN.png,0862_RealESRGAN.png,0862_RealESRGAN.png,6
2642,6982,0862_ResShift.png,0862_SwinIR.png,0862_ResShift.png,13
2642,6982,0862_BSRGAN.png,0862_SwinIR.png,0862_BSRGAN.png,23
2642,6982,0841_BSRGAN.png,0841_SwinIR.png,0841_SwinIR.png,5
2642,6982,0841_ResShift.png,0841_BSRGAN.png,0841_ResShift.png,7
2642,6982,0841_RealESRGAN.png,0841_SwinIR.png,0841_RealESRGAN.png,14
2642,6982,0841_RealESRGAN.png,0841_ResShift.png,0841_ResShift.png,8
2642,6982,0841_SwinIR.png,0841_ResShift.png,0841_ResShift.png,7
2642,6982,0841_BSRGAN.png,0841_RealESRGAN.png,0841_RealESRGAN.png,4
2642,6982,0809_SwinIR.png,0809_BSRGAN.png,0809_SwinIR.png,10
2642,6982,0809_BSRGAN.png,0809_ResShift.png,0809_ResShift.png,7
2642,6982,0809_ResShift.png,0809_SwinIR.png,0809_SwinIR.png,10
2642,6982,0809_BSRGAN.png,0809_RealESRGAN.png,0809_BSRGAN.png,19
2642,6982,0809_SwinIR.png,0809_RealESRGAN.png,0809_SwinIR.png,5
2642,6982,0809_RealESRGAN.png,0809_ResShift.png,0809_ResShift.png,7
2642,6982,0874_RealESRGAN.png,0874_SwinIR.png,0874_SwinIR.png,11
2642,6982,0874_RealESRGAN.png,0874_ResShift.png,0874_RealESRGAN.png,8
2642,6982,0874_ResShift.png,0874_SwinIR.png,0874_ResShift.png,9
2642,6982,0874_BSRGAN.png,0874_RealESRGAN.png,0874_RealESRGAN.png,11
2642,6982,0874_SwinIR.png,0874_BSRGAN.png,0874_SwinIR.png,6
2642,6982,0874_ResShift.png,0874_BSRGAN.png,0874_BSRGAN.png,9
2642,6982,0819_ResShift.png,0819_RealESRGAN.png,0819_ResShift.png,7
2642,6982,0819_BSRGAN.png,0819_ResShift.png,0819_ResShift.png,4
2642,6982,0819_BSRGAN.png,0819_SwinIR.png,0819_SwinIR.png,5
2642,6982,0819_SwinIR.png,0819_ResShift.png,0819_ResShift.png,4
2642,6982,0819_RealESRGAN.png,0819_BSRGAN.png,0819_RealESRGAN.png,5
2642,6982,0819_SwinIR.png,0819_RealESRGAN.png,0819_RealESRGAN.png,5
2642,6982,0814_SwinIR.png,0814_RealESRGAN.png,0814_RealESRGAN.png,10
2642,6982,0814_SwinIR.png,0814_BSRGAN.png,0814_SwinIR.png,10
2642,6982,0814_BSRGAN.png,0814_ResShift.png,0814_ResShift.png,3
2642,6982,0814_RealESRGAN.png,0814_BSRGAN.png,0814_RealESRGAN.png,6
2642,6982,0814_SwinIR.png,0814_ResShift.png,0814_ResShift.png,4
2642,6982,0814_RealESRGAN.png,0814_ResShift.png,0814_ResShift.png,3
2642,6982,0837_RealESRGAN.png,0837_BSRGAN.png,0837_RealESRGAN.png,3
2642,6982,0837_SwinIR.png,0837_BSRGAN.png,0837_SwinIR.png,4
2642,6982,0837_BSRGAN.png,0837_ResShift.png,0837_ResShift.png,3
2642,6982,0837_SwinIR.png,0837_ResShift.png,0837_SwinIR.png,6
2642,6982,0837_SwinIR.png,0837_RealESRGAN.png,0837_SwinIR.png,7
2642,6982,0837_ResShift.png,0837_RealESRGAN.png,0837_ResShift.png,16
2642,6982,0887_ResShift.png,0887_SwinIR.png,0887_ResShift.png,17
2642,6982,0887_RealESRGAN.png,0887_BSRGAN.png,0887_RealESRGAN.png,8
2642,6982,0887_ResShift.png,0887_RealESRGAN.png,0887_RealESRGAN.png,7
2642,6982,0887_SwinIR.png,0887_RealESRGAN.png,0887_RealESRGAN.png,4
2642,6982,0887_BSRGAN.png,0887_ResShift.png,0887_ResShift.png,3
2642,6982,0887_SwinIR.png,0887_BSRGAN.png,0887_SwinIR.png,2
2642,6982,0896_SwinIR.png,0896_ResShift.png,0896_ResShift.png,3
2642,6982,0896_RealESRGAN.png,0896_BSRGAN.png,0896_RealESRGAN.png,3
2642,6982,0896_ResShift.png,0896_BSRGAN.png,0896_ResShift.png,3
2642,6982,0896_RealESRGAN.png,0896_SwinIR.png,0896_SwinIR.png,6
2642,6982,0896_SwinIR.png,0896_BSRGAN.png,0896_SwinIR.png,2
2642,6982,0896_ResShift.png,0896_RealESRGAN.png,0896_ResShift.png,5
2642,6982,0825_BSRGAN.png,0825_ResShift.png,0825_BSRGAN.png,5
2642,6982,0825_BSRGAN.png,0825_RealESRGAN.png,0825_RealESRGAN.png,5
2642,6982,0825_ResShift.png,0825_SwinIR.png,0825_ResShift.png,2
2642,6982,0825_BSRGAN.png,0825_SwinIR.png,0825_BSRGAN.png,2
2642,6982,0825_ResShift.png,0825_RealESRGAN.png,0825_RealESRGAN.png,3
2642,6982,0825_SwinIR.png,0825_RealESRGAN.png,0825_RealESRGAN.png,3
2642,6983,0825_SwinIR.png,0825_BSRGAN.png,0825_SwinIR.png,44
2642,6983,0825_ResShift.png,0825_SwinIR.png,0825_SwinIR.png,13
2642,6983,0825_BSRGAN.png,0825_ResShift.png,0825_ResShift.png,62
2642,6983,0825_SwinIR.png,0825_RealESRGAN.png,0825_SwinIR.png,38
2642,6983,0825_RealESRGAN.png,0825_ResShift.png,0825_RealESRGAN.png,26
2642,6983,0825_RealESRGAN.png,0825_BSRGAN.png,0825_BSRGAN.png,23
2642,6983,0841_SwinIR.png,0841_RealESRGAN.png,0841_SwinIR.png,38
2642,6983,0841_BSRGAN.png,0841_RealESRGAN.png,0841_RealESRGAN.png,19
2642,6983,0841_ResShift.png,0841_SwinIR.png,0841_ResShift.png,31
2642,6983,0841_ResShift.png,0841_RealESRGAN.png,0841_RealESRGAN.png,11
2642,6983,0841_BSRGAN.png,0841_ResShift.png,0841_ResShift.png,34
