Experiment parameters,,,,,
parameter,value,,,,
title,Super Resolution Color Imaging,,,,
experiment type,Paired Comparison,,,,
delay between stimuli switching,200ms,,,,
Background colour,#808080,,,,
Stimuli spacing,15px,,,,
Same pair twice (flipped),no,,,,
Show original,no,,,,
,,,,,
Image sets,,,,,
set name,file name,,,,
2562,6959,0825_SwinIR.png,0825_RealESRGAN.png,0825_RealESRGAN.png,0
2562,6959,0825_ResShift.png,0825_SwinIR.png,0825_ResShift.png,1
2562,6959,0825_RealESRGAN.png,0825_ResShift.png,0825_ResShift.png,0
2562,6959,0825_BSRGAN.png,0825_ResShift.png,0825_ResShift.png,1
2562,6959,0825_RealESRGAN.png,0825_BSRGAN.png,0825_RealESRGAN.png,1
2562,6959,0862_ResShift.png,0862_SwinIR.png,0862_SwinIR.png,0
2562,6959,0862_RealESRGAN.png,0862_ResShift.png,0862_ResShift.png,0
2562,6959,0862_BSRGAN.png,0862_ResShift.png,0862_ResShift.png,1
2562,6959,0862_RealESRGAN.png,0862_SwinIR.png,0862_RealESRGAN.png,0
2562,6959,0862_BSRGAN.png,0862_SwinIR.png,0862_SwinIR.png,0
2562,6959,0862_BSRGAN.png,0862_RealESRGAN.png,0862_RealESRGAN.png,1
2562,6959,0874_ResShift.png,0874_SwinIR.png,0874_SwinIR.png,0
2562,6959,0874_SwinIR.png,0874_RealESRGAN.png,0874_SwinIR.png,1
2562,6959,0874_BSRGAN.png,0874_ResShift.png,0874_ResShift.png,14
2562,6959,0874_RealESRGAN.png,0874_BSRGAN.png,0874_BSRGAN.png,5
2562,6959,0874_BSRGAN.png,0874_SwinIR.png,0874_BSRGAN.png,5
2562,6959,0874_ResShift.png,0874_RealESRGAN.png,0874_RealESRGAN.png,1
2562,6959,0814_SwinIR.png,0814_ResShift.png,0814_ResShift.png,2
2562,6959,0814_BSRGAN.png,0814_RealESRGAN.png,0814_BSRGAN.png,0
2562,6959,0814_SwinIR.png,0814_RealESRGAN.png,0814_RealESRGAN.png,0
2562,6959,0814_BSRGAN.png,0814_ResShift.png,0814_BSRGAN.png,1
2562,6959,0814_RealESRGAN.png,0814_ResShift.png,0814_ResShift.png,0
2562,6959,0814_SwinIR.png,0814_BSRGAN.png,0814_SwinIR.png,1
2644,6961,0809_BSRGAN.png,0809_RealESRGAN.png,0809_RealESRGAN.png,5
2644,6961,0809_RealESRGAN.png,0809_ResShift.png,0809_ResShift.png,2
2644,6961,0809_ResShift.png,0809_SwinIR.png,0809_ResShift.png,16
2644,6961,0809_BSRGAN.png,0809_ResShift.png,0809_ResShift.png,2
2644,6961,0809_RealESRGAN.png,0809_SwinIR.png,0809_SwinIR.png,2
2644,6961,0809_BSRGAN.png,0809_SwinIR.png,0809_SwinIR.png,1
2644,6961,0837_RealESRGAN.png,0837_BSRGAN.png,0837_BSRGAN.png,8
2644,6961,0837_SwinIR.png,0837_BSRGAN.png,0837_SwinIR.png,1
2644,6961,0837_RealESRGAN.png,0837_SwinIR.png,0837_SwinIR.png,1
2644,6961,0837_RealESRGAN.png,0837_ResShift.png,0837_RealESRGAN.png,2
2644,6961,0837_ResShift.png,0837_SwinIR.png,0837_SwinIR.png,1
2644,6961,0837_BSRGAN.png,0837_ResShift.png,0837_ResShift.png,2
2644,6961,0896_SwinIR.png,0896_BSRGAN.png,0896_SwinIR.png,7
2644,6961,0896_RealESRGAN.png,0896_BSRGAN.png,0896_BSRGAN.png,5
2644,6961,0896_ResShift.png,0896_SwinIR.png,0896_ResShift.png,1
2644,6961,0896_BSRGAN.png,0896_ResShift.png,0896_ResShift.png,2
2644,6961,0896_ResShift.png,0896_RealESRGAN.png,0896_ResShift.png,3
2644,6961,0896_SwinIR.png,0896_RealESRGAN.png,0896_SwinIR.png,3
2644,6961,0841_RealESRGAN.png,0841_SwinIR.png,0841_SwinIR.png,4
2644,6961,0841_BSRGAN.png,0841_ResShift.png,0841_ResShift.png,3
2644,6961,0841_SwinIR.png,0841_BSRGAN.png,0841_SwinIR.png,1
2644,6961,0841_RealESRGAN.png,0841_ResShift.png,0841_ResShift.png,1
2644,6961,0841_ResShift.png,0841_SwinIR.png,0841_ResShift.png,1
2644,6961,0841_BSRGAN.png,0841_RealESRGAN.png,0841_RealESRGAN.png,1
2644,6961,0814_BSRGAN.png,0814_ResShift.png,0814_ResShift.png,3
2644,6961,0814_RealESRGAN.png,0814_ResShift.png,0814_ResShift.png,6
2644,6961,0814_SwinIR.png,0814_RealESRGAN.png,0814_SwinIR.png,2
2644,6961,0814_RealESRGAN.png,0814_BSRGAN.png,0814_RealESRGAN.png,1
2644,6961,0814_SwinIR.png,0814_ResShift.png,0814_ResShift.png,1
2644,6961,0814_BSRGAN.png,0814_SwinIR.png,0814_SwinIR.png,1
2644,6961,0887_SwinIR.png,0887_RealESRGAN.png,0887_RealESRGAN.png,8
2644,6961,0887_SwinIR.png,0887_BSRGAN.png,0887_BSRGAN.png,1
