Model,PSNR,SSIM,LPIPS,CLIPIQA
BSRGAN,23.37333595247514,0.684897284580653,0.18378574792295693,0.9751220703125
RealESRGAN,22.792738703926254,0.6755174285689367,0.1844621269032359,0.9711181640625
ResShift,23.87111454677817,0.7104538783977034,0.14134215973317624,0.98857421875
SwinIR,22.752947842644364,0.6849223702109071,0.17568043377250434,0.966064453125
Summary,23.19753426145598,0.68894774043955,0.17131761708296833,0.9752197265625
