observer id,session id,left image,right image,selected image,time spent (in seconds)
2562,6956,0841_ResShift.png,0841_RealESRGAN.png,0841_ResShift.png,3
2562,6956,0841_RealESRGAN.png,0841_BSRGAN.png,0841_BSRGAN.png,6
2562,6956,0841_RealESRGAN.png,0841_SwinIR.png,0841_SwinIR.png,6
2562,6956,0896_RealESRGAN.png,0896_SwinIR.png,0896_SwinIR.png,13
2562,6956,0896_BSRGAN.png,0896_SwinIR.png,0896_BSRGAN.png,5
2562,6956,0896_SwinIR.png,0896_ResShift.png,0896_SwinIR.png,7
2562,6956,0896_ResShift.png,0896_BSRGAN.png,0896_BSRGAN.png,6
2562,6956,0896_RealESRGAN.png,0896_ResShift.png,0896_ResShift.png,1
2562,6956,0896_RealESRGAN.png,0896_BSRGAN.png,0896_RealESRGAN.png,2
2562,6956,0837_SwinIR.png,0837_RealESRGAN.png,0837_SwinIR.png,4
2562,6956,0837_SwinIR.png,0837_BSRGAN.png,0837_SwinIR.png,3
2562,6956,0837_BSRGAN.png,0837_RealESRGAN.png,0837_BSRGAN.png,6
2562,6956,0837_SwinIR.png,0837_ResShift.png,0837_ResShift.png,2
2562,6956,0837_ResShift.png,0837_RealESRGAN.png,0837_RealESRGAN.png,2
2562,6956,0837_ResShift.png,0837_BSRGAN.png,0837_ResShift.png,3
2562,6956,0809_ResShift.png,0809_SwinIR.png,0809_ResShift.png,8
2562,6956,0809_BSRGAN.png,0809_ResShift.png,0809_ResShift.png,1
2562,6956,0809_BSRGAN.png,0809_SwinIR.png,0809_SwinIR.png,2
2562,6956,0809_BSRGAN.png,0809_RealESRGAN.png,0809_RealESRGAN.png,3
2562,6956,0809_RealESRGAN.png,0809_SwinIR.png,0809_SwinIR.png,1
2562,6956,0809_RealESRGAN.png,0809_ResShift.png,0809_ResShift.png,4
2562,6956,0874_ResShift.png,0874_SwinIR.png,0874_ResShift.png,11
2562,6956,0874_RealESRGAN.png,0874_SwinIR.png,0874_RealESRGAN.png,3
2562,6956,0874_ResShift.png,0874_RealESRGAN.png,0874_ResShift.png,7
2562,6956,0874_BSRGAN.png,0874_ResShift.png,0874_ResShift.png,1
2562,6956,0874_RealESRGAN.png,0874_BSRGAN.png,0874_BSRGAN.png,3
2562,6956,0874_BSRGAN.png,0874_SwinIR.png,0874_SwinIR.png,1
2562,6956,0819_ResShift.png,0819_RealESRGAN.png,0819_RealESRGAN.png,6
2562,6956,0819_SwinIR.png,0819_RealESRGAN.png,0819_RealESRGAN.png,4
2562,6956,0819_SwinIR.png,0819_BSRGAN.png,0819_SwinIR.png,1
2562,6956,0819_RealESRGAN.png,0819_BSRGAN.png,0819_RealESRGAN.png,2
2562,6956,0819_SwinIR.png,0819_ResShift.png,0819_ResShift.png,2
